"Název","Podtitul","Celexové číslo","Datum dokumentu",
"Arrêt de la Cour (huitième chambre) du 15 mars 2012.#Commission européenne contre République de Pologne.#Manquement d’État – Directive 92/43/CEE – Conservation des habitats naturels ainsi que de la faune et de la flore sauvages – Protection insuffisante de certaines espèces, notamment de la loutre (Lutra lutra).#Affaire C‑46/11.","","62011CJ0046","2012-03-15",
"Rozsudek Soudního dvora (velkého senátu) ze dne 21. ledna 2020.#Žádost o rozhodnutí o předběžné otázce podaná Tribunal Económico Administrativo Central.#Řízení o předběžné otázce – Článek 267 SFEU – Pojem ‚vnitrostátní soud‘ – Kritéria – Nezávislost dotčeného vnitrostátního orgánu – Neodvolatelnost členů – Nepřípustnost žádosti o rozhodnutí o předběžné otázce.#Věc C-274/14.","","62014CJ0274","2020-01-21",
"Rozsudek Soudního dvora (velkého senátu) ze dne 5. prosince 2017.#Spolková republika Německo v. Rada Evropské unie.#Žaloba na neplatnost – Vnější činnost Evropské unie – Článek 216 odst. 1 SFEU – Článek 218 odst. 9 SFEU – Stanovení postoje, který má být jménem Unie zaujat v orgánu zřízeném mezinárodní dohodou – Revizní komise Mezivládní organizace pro mezinárodní železniční přepravu (OTIF) – Změna Úmluvy o mezinárodní železniční přepravě (COTIF) a přípojků k ní – Sdílená pravomoc Unie a jejích členských států – Vnější pravomoc Unie v oblasti, v níž Unie dosud nepřijala společná pravidla – Platnost rozhodnutí 2014/699/EU – Povinnost uvést odůvodnění – Zásada loajální spolupráce.#Věc C-600/14.","","62014CJ0600","2017-12-05",
"Rozsudek Soudního dvora (čtvrtého senátu) ze dne 13. září 2017.#Evropská komise v. Belgické království.#Nesplnění povinnosti státem – Státní podpory – Rozhodnutí 2011/678/EU – Státní podpora ve prospěch financování testů prováděných za účelem zjištění přenosných spongiformních encefalopatií (TSE) u skotu – Podpora neslučitelná s vnitřním trhem – Povinnost navrácení – Neprovedení.#Věc C-591/14.","","62014CJ0591","2017-09-13",
"Rozsudek Soudního dvora (velkého senátu) ze dne 6. září 2017.#Intel Corp. v. Evropská komise.#Kasační opravný prostředek – Článek 102 SFEU – Zneužití dominantního postavení – Věrnostní slevy – Pravomoc Komise – Nařízení (ES) č. 1/2003 – Článek 19.#Věc C-413/14 P.","","62014CJ0413","2017-09-06",
"Rozsudek Soudního dvora (velkého senátu) ze dne 26. července 2017.#Rada Evropské unie v. Liberation Tigers of Tamil Eelam (LTTE).#Kasační opravný prostředek – Společná zahraniční a bezpečnostní politika – Boj proti terorismu – Omezující opatření namířená proti některým osobám a subjektům – Zmrazení finančních prostředků – Společný postoj 2001/931/SZBP – Článek 1 odst. 4 a 6 – Nařízení (ES) č. 2580/2001 – Článek 2 odst. 3 – Ponechání organizace na seznamu osob, skupin a subjektů zapojených do teroristických činů – Podmínky – Skutkový základ rozhodnutí o zmrazení finančních prostředků – Rozhodnutí přijaté příslušným orgánem – Povinnost uvést odůvodnění.#Věc C-599/14 P.","","62014CJ0599","2017-07-26",
"Rozsudek Soudního dvora (třetího senátu) ze dne 28. června 2017.#Evropská komise v. Spolková republika Německo.#Nesplnění povinnosti státem – Rozvoj železnic Společenství – Směrnice 91/440/EHS – Článek 6 odst. 1 – Skupina Deutsche Bahn – Smlouvy o převodu zisku – Zákaz převádět železničním dopravním službám veřejnou podporu přidělenou na provozování železniční infrastruktury – Účetní požadavky – Směrnice 91/440/EHS – Článek 9 odst. 4 – Nařízení (ES) č. 1370/2007 – Článek 6 odst. 1 – Bod 5 přílohy – Účetní požadavky – Předložení každé smlouvy o veřejné podpoře, která byla poskytnuta na činnosti související s poskytováním služeb přepravy cestujících jako úhrada za veřejné služby, zvlášť.#Věc C-482/14.","","62014CJ0482","2017-06-28",
"Rozsudek Soudního dvora (velkého senátu) ze dne 13. června 2017.#Eugenia Florescu a další v. Casa Judeţeană de Pensii Sibiu a další.#Žádost o rozhodnutí o předběžné otázce podaná Curtea de Apel Alba Iulia.#Řízení o předběžné otázce – Článek 143 SFEU – Obtíže s platební bilancí členského státu – Finanční pomoc Evropské unie – Memorandum o porozumění uzavřené mezi Evropskou unií a členským státem přijímajícím úvěr – Sociální politika – Zásada rovného zacházení – Vnitrostátní právní úprava, která zakazuje souběh veřejného starobního důchodu s příjmy plynoucími ze závislé činnosti vykonávané u veřejné instituce – Rozdílné zacházení s osobami, jejichž funkční období je stanoveno v ústavě, a s kariérními soudci.#Věc C-258/14.","","62014CJ0258","2017-06-13",
"Rozsudek Soudního dvora (čtvrtého senátu) ze dne 11. května 2017.#Švédské království v. Evropská komise.#Kasační opravný prostředek – Právo veřejnosti na přístup k dokumentům – Nařízení (ES) č. 1049/2001 – Článek 4 odst. 2 třetí odrážka – Výjimky z práva na přístup k dokumentům – Nesprávný výklad – Ochrana cílů inspekce, vyšetřování a auditu – Převažující veřejný zájem odůvodňující zpřístupnění dokumentů – Obecná domněnka důvěrnosti – Dokumenty týkající se řízení EU Pilot.#Věc C-562/14 P.","","62014CJ0562","2017-05-11",
"Rozsudek Soudního dvora (pátého senátu) ze dne 4. května 2017.#Esaprojekt sp. z o.o. v. Województwo Łódzkie.#Žádost o rozhodnutí o předběžné otázce podaná Krajowa Izba Odwoławcza.#Řízení o předběžné otázce – Veřejné zakázky – Směrnice 2004/18/ES – Zásady rovného zacházení, zákazu diskriminace a transparentnosti – Technická nebo odborná způsobilost hospodářských subjektů – Článek 48 odst. 3 – Možnost využít schopnosti jiných subjektů – Článek 51 – Možnost doplnit nabídku – Článek 45 odst. 2 písm. g) – Vyloučení z účasti na veřejné zakázce z důvodu vážného pochybení.#Věc C-387/14.","","62014CJ0387","2017-05-04",
